School,Faculty Type,Salary Type,Salary,,,,,
Washington and Lee,all_fac_2020,COLA Adjusted Salary,"135,642",,,,,
Washington and Lee,full,COLA Adjusted Salary,"164,424",,,,,
Washington and Lee,associate,COLA Adjusted Salary,"132,259",,,,,
Washington and Lee,assistant,COLA Adjusted Salary,"108,761",,,,,
Wesleyan,all_fac_2020,COLA Adjusted Salary,"108,809",,,,,
Wesleyan,full,COLA Adjusted Salary,"154,335",,,,,
Wesleyan,associate,COLA Adjusted Salary,"108,121",,,,,
Wesleyan,assistant,COLA Adjusted Salary,"88,836",,,,,
Williams,all_fac_2020,COLA Adjusted Salary,"121,289",,,,,
Williams,full,COLA Adjusted Salary,"148,554",,,,,
Williams,associate,COLA Adjusted Salary,"105,085",,,,,
Williams,assistant,COLA Adjusted Salary,"92,993",,,,,
